	Chord length [m]	FS velocity [m/s]	SSD thickness [m]	Sound pressure [dB]
306	0.2286	71.3	0.00400603	124.338
307	0.2286	71.3	0.00400603	124.10799999999999
308	0.2286	71.3	0.00400603	121.728
309	0.2286	71.3	0.00400603	121.118
310	0.2286	71.3	0.00400603	118.618
311	0.2286	71.3	0.00400603	112.848
312	0.2286	71.3	0.00400603	113.10799999999999
313	0.2286	71.3	0.00400603	114.258
314	0.2286	71.3	0.00400603	112.76799999999999
315	0.2286	71.3	0.00400603	109.63799999999999
316	0.2286	55.5	0.0042861999999999996	123.274
317	0.2286	55.5	0.0042861999999999996	127.314
318	0.2286	55.5	0.0042861999999999996	129.964
319	0.2286	55.5	0.0042861999999999996	131.864
320	0.2286	55.5	0.0042861999999999996	132.134
321	0.2286	55.5	0.0042861999999999996	131.264
322	0.2286	55.5	0.0042861999999999996	128.264
323	0.2286	55.5	0.0042861999999999996	124.25399999999999
324	0.2286	55.5	0.0042861999999999996	122.384
325	0.2286	55.5	0.0042861999999999996	122.39399999999999
326	0.2286	55.5	0.0042861999999999996	120.654
327	0.2286	55.5	0.0042861999999999996	120.03399999999999
328	0.2286	55.5	0.0042861999999999996	117.154
329	0.2286	55.5	0.0042861999999999996	112.524
330	0.2286	39.6	0.00473801	122.229
331	0.2286	39.6	0.00473801	123.87899999999999
332	0.2286	39.6	0.00473801	127.039
333	0.2286	39.6	0.00473801	129.579
334	0.2286	39.6	0.00473801	130.469
335	0.2286	39.6	0.00473801	129.969
336	0.2286	39.6	0.00473801	128.339
337	0.2286	39.6	0.00473801	125.319
338	0.2286	39.6	0.00473801	121.65899999999999
339	0.2286	39.6	0.00473801	119.649
340	0.2286	39.6	0.00473801	120.419
341	0.2286	39.6	0.00473801	119.15899999999999
342	0.2286	39.6	0.00473801	117.649
343	0.2286	39.6	0.00473801	114.249
344	0.2286	39.6	0.00473801	113.12899999999999
345	0.2286	31.7	0.00509068	120.189
346	0.2286	31.7	0.00509068	123.609
347	0.2286	31.7	0.00509068	126.149
348	0.2286	31.7	0.00509068	128.939
349	0.2286	31.7	0.00509068	130.349
350	0.2286	31.7	0.00509068	130.869
351	0.2286	31.7	0.00509068	129.869
352	0.2286	31.7	0.00509068	128.119
353	0.2286	31.7	0.00509068	125.229
354	0.2286	31.7	0.00509068	122.089
355	0.2286	31.7	0.00509068	120.209
356	0.2286	31.7	0.00509068	120.229
357	0.2286	31.7	0.00509068	118.859
358	0.2286	31.7	0.00509068	115.969
359	0.2286	31.7	0.00509068	112.699
360	0.2286	71.3	0.0051942	127.7
361	0.2286	71.3	0.0051942	129.88
362	0.2286	71.3	0.0051942	131.8
363	0.2286	71.3	0.0051942	133.48
364	0.2286	71.3	0.0051942	134.0
365	0.2286	71.3	0.0051942	133.38
366	0.2286	71.3	0.0051942	130.46
367	0.2286	71.3	0.0051942	125.89
368	0.2286	71.3	0.0051942	123.74
369	0.2286	71.3	0.0051942	123.12
370	0.2286	71.3	0.0051942	120.33
371	0.2286	71.3	0.0051942	118.05
372	0.2286	71.3	0.0051942	116.92
373	0.2286	71.3	0.0051942	114.9
374	0.2286	71.3	0.0051942	111.35
375	0.2286	39.6	0.00614329	127.01100000000001
376	0.2286	39.6	0.00614329	129.691
377	0.2286	39.6	0.00614329	131.221
378	0.2286	39.6	0.00614329	132.251
379	0.2286	39.6	0.00614329	132.011
380	0.2286	39.6	0.00614329	129.491
381	0.2286	39.6	0.00614329	125.581
382	0.2286	39.6	0.00614329	125.721
383	0.2286	39.6	0.00614329	123.081
384	0.2286	39.6	0.00614329	117.911
385	0.2286	39.6	0.00614329	116.15100000000001
386	0.2286	39.6	0.00614329	118.441
387	0.2286	39.6	0.00614329	115.801
388	0.2286	39.6	0.00614329	115.311
389	0.2286	39.6	0.00614329	112.541
390	0.2286	71.3	0.010440399999999999	138.75799999999998
391	0.2286	71.3	0.010440399999999999	139.918
392	0.2286	71.3	0.010440399999999999	139.808
393	0.2286	71.3	0.010440399999999999	139.438
394	0.2286	71.3	0.010440399999999999	136.798
395	0.2286	71.3	0.010440399999999999	133.768
396	0.2286	71.3	0.010440399999999999	130.748
397	0.2286	71.3	0.010440399999999999	126.838
398	0.2286	71.3	0.010440399999999999	127.35799999999999
399	0.2286	71.3	0.010440399999999999	125.728
400	0.2286	71.3	0.010440399999999999	122.708
401	0.2286	71.3	0.010440399999999999	122.088
402	0.2286	71.3	0.010440399999999999	120.458
403	0.2286	71.3	0.010440399999999999	119.208
404	0.2286	71.3	0.010440399999999999	115.29799999999999
405	0.2286	71.3	0.010440399999999999	115.818
406	0.2286	55.5	0.011170600000000001	135.234
407	0.2286	55.5	0.011170600000000001	136.384
408	0.2286	55.5	0.011170600000000001	136.284
409	0.2286	55.5	0.011170600000000001	135.924
410	0.2286	55.5	0.011170600000000001	133.174
411	0.2286	55.5	0.011170600000000001	130.934
412	0.2286	55.5	0.011170600000000001	128.444
413	0.2286	55.5	0.011170600000000001	125.194
414	0.2286	55.5	0.011170600000000001	125.72399999999999
415	0.2286	55.5	0.011170600000000001	123.354
416	0.2286	55.5	0.011170600000000001	120.354
417	0.2286	55.5	0.011170600000000001	118.994
418	0.2286	55.5	0.011170600000000001	117.134
419	0.2286	55.5	0.011170600000000001	117.28399999999999
420	0.2286	55.5	0.011170600000000001	113.14399999999999
421	0.2286	55.5	0.011170600000000001	111.53399999999999
422	0.2286	39.6	0.0123481	130.989
423	0.2286	39.6	0.0123481	131.889
424	0.2286	39.6	0.0123481	132.149
425	0.2286	39.6	0.0123481	132.039
426	0.2286	39.6	0.0123481	130.299
427	0.2286	39.6	0.0123481	128.929
428	0.2286	39.6	0.0123481	126.29899999999999
429	0.2286	39.6	0.0123481	122.539
430	0.2286	39.6	0.0123481	123.189
431	0.2286	39.6	0.0123481	121.059
432	0.2286	39.6	0.0123481	117.809
433	0.2286	39.6	0.0123481	116.559
434	0.2286	39.6	0.0123481	114.309
435	0.2286	39.6	0.0123481	114.079
436	0.2286	39.6	0.0123481	111.959
437	0.2286	39.6	0.0123481	110.839
438	0.2286	31.7	0.0132672	128.679
439	0.2286	31.7	0.0132672	130.089
440	0.2286	31.7	0.0132672	130.239
441	0.2286	31.7	0.0132672	130.269
442	0.2286	31.7	0.0132672	128.16899999999998
443	0.2286	31.7	0.0132672	126.189
444	0.2286	31.7	0.0132672	123.209
445	0.2286	31.7	0.0132672	119.09899999999999
446	0.2286	31.7	0.0132672	120.509
447	0.2286	31.7	0.0132672	119.039
448	0.2286	31.7	0.0132672	115.309
449	0.2286	31.7	0.0132672	114.709
450	0.2286	31.7	0.0132672	113.229
451	0.2286	31.7	0.0132672	112.639
452	0.2286	31.7	0.0132672	111.029
453	0.2286	31.7	0.0132672	110.689
454	0.1524	71.3	0.0015988	125.81700000000001
455	0.1524	71.3	0.0015988	127.307
456	0.1524	71.3	0.0015988	128.92700000000002
457	0.1524	71.3	0.0015988	129.667
458	0.1524	71.3	0.0015988	128.64700000000002
459	0.1524	71.3	0.0015988	128.127
460	0.1524	71.3	0.0015988	129.377
461	0.1524	71.3	0.0015988	128.857
462	0.1524	71.3	0.0015988	126.45700000000001
463	0.1524	71.3	0.0015988	125.427
464	0.1524	71.3	0.0015988	122.527
465	0.1524	71.3	0.0015988	120.24700000000001
466	0.1524	71.3	0.0015988	117.087
467	0.1524	71.3	0.0015988	113.29700000000001
468	0.1524	55.5	0.00172668	120.573
469	0.1524	55.5	0.00172668	123.583
470	0.1524	55.5	0.00172668	126.713
471	0.1524	55.5	0.00172668	128.583
472	0.1524	55.5	0.00172668	129.953
473	0.1524	55.5	0.00172668	130.183
474	0.1524	55.5	0.00172668	129.673
475	0.1524	55.5	0.00172668	127.76299999999999
476	0.1524	55.5	0.00172668	127.75299999999999
477	0.1524	55.5	0.00172668	127.23299999999999
478	0.1524	55.5	0.00172668	125.20299999999999
479	0.1524	55.5	0.00172668	123.303
480	0.1524	55.5	0.00172668	121.90299999999999
481	0.1524	55.5	0.00172668	119.25299999999999
482	0.1524	55.5	0.00172668	117.09299999999999
483	0.1524	55.5	0.00172668	112.803
484	0.1524	39.6	0.00193287	119.51299999999999
485	0.1524	39.6	0.00193287	124.40299999999999
486	0.1524	39.6	0.00193287	127.90299999999999
487	0.1524	39.6	0.00193287	130.033
488	0.1524	39.6	0.00193287	131.023
489	0.1524	39.6	0.00193287	131.013
490	0.1524	39.6	0.00193287	129.63299999999998
491	0.1524	39.6	0.00193287	126.863
492	0.1524	39.6	0.00193287	125.603
493	0.1524	39.6	0.00193287	125.34299999999999
494	0.1524	39.6	0.00193287	123.45299999999999
495	0.1524	39.6	0.00193287	121.31299999999999
496	0.1524	39.6	0.00193287	120.553
497	0.1524	39.6	0.00193287	115.413
498	0.1524	31.7	0.00209405	121.617
499	0.1524	31.7	0.00209405	125.99700000000001
500	0.1524	31.7	0.00209405	129.11700000000002
501	0.1524	31.7	0.00209405	130.987
502	0.1524	31.7	0.00209405	131.467
503	0.1524	31.7	0.00209405	130.817
504	0.1524	31.7	0.00209405	128.907
505	0.1524	31.7	0.00209405	125.867
506	0.1524	31.7	0.00209405	124.20700000000001
507	0.1524	31.7	0.00209405	123.807
508	0.1524	31.7	0.00209405	122.397
509	0.1524	31.7	0.00209405	119.73700000000001
510	0.1524	31.7	0.00209405	117.95700000000001
511	0.1524	71.3	0.00243851	127.404
512	0.1524	71.3	0.00243851	127.39399999999999
513	0.1524	71.3	0.00243851	128.774
514	0.1524	71.3	0.00243851	130.144
515	0.1524	71.3	0.00243851	130.644
516	0.1524	71.3	0.00243851	130.114
517	0.1524	71.3	0.00243851	128.334
518	0.1524	71.3	0.00243851	127.054
519	0.1524	71.3	0.00243851	126.53399999999999
520	0.1524	71.3	0.00243851	124.36399999999999
521	0.1524	71.3	0.00243851	121.944
522	0.1524	71.3	0.00243851	120.53399999999999
523	0.1524	71.3	0.00243851	116.72399999999999
524	0.1524	71.3	0.00243851	113.03399999999999
525	0.1524	71.3	0.00243851	110.36399999999999
526	0.1524	39.6	0.00294804	121.009
527	0.1524	39.6	0.00294804	125.809
528	0.1524	39.6	0.00294804	128.829
529	0.1524	39.6	0.00294804	130.589
530	0.1524	39.6	0.00294804	130.829
531	0.1524	39.6	0.00294804	130.049
532	0.1524	39.6	0.00294804	128.139
533	0.1524	39.6	0.00294804	125.589
534	0.1524	39.6	0.00294804	122.919
535	0.1524	39.6	0.00294804	121.889
536	0.1524	39.6	0.00294804	121.499
537	0.1524	39.6	0.00294804	119.209
538	0.1524	39.6	0.00294804	116.65899999999999
539	0.1524	39.6	0.00294804	112.589
540	0.1524	39.6	0.00294804	108.649
541	0.1524	71.3	0.00401199	124.12100000000001
542	0.1524	71.3	0.00401199	126.291
543	0.1524	71.3	0.00401199	128.971
544	0.1524	71.3	0.00401199	131.281
545	0.1524	71.3	0.00401199	133.201
546	0.1524	71.3	0.00401199	134.111
547	0.1524	71.3	0.00401199	133.241
548	0.1524	71.3	0.00401199	131.111
549	0.1524	71.3	0.00401199	127.59100000000001
550	0.1524	71.3	0.00401199	123.311
551	0.1524	71.3	0.00401199	121.431
552	0.1524	71.3	0.00401199	120.061
553	0.1524	71.3	0.00401199	116.411
554	0.1524	55.5	0.00433288	126.807
555	0.1524	55.5	0.00433288	129.36700000000002
556	0.1524	55.5	0.00433288	131.80700000000002
557	0.1524	55.5	0.00433288	133.097
558	0.1524	55.5	0.00433288	132.127
559	0.1524	55.5	0.00433288	130.77700000000002
560	0.1524	55.5	0.00433288	130.567
561	0.1524	55.5	0.00433288	128.707
562	0.1524	55.5	0.00433288	124.07700000000001
563	0.1524	55.5	0.00433288	121.587
564	0.1524	55.5	0.00433288	119.73700000000001
565	0.1524	55.5	0.00433288	118.757
566	0.1524	55.5	0.00433288	117.287
567	0.1524	55.5	0.00433288	114.927
568	0.1524	39.6	0.00485029	125.34700000000001
569	0.1524	39.6	0.00485029	127.637
570	0.1524	39.6	0.00485029	129.937
571	0.1524	39.6	0.00485029	132.357
572	0.1524	39.6	0.00485029	132.757
573	0.1524	39.6	0.00485029	130.507
574	0.1524	39.6	0.00485029	127.117
575	0.1524	39.6	0.00485029	126.26700000000001
576	0.1524	39.6	0.00485029	124.647
577	0.1524	39.6	0.00485029	120.49700000000001
578	0.1524	39.6	0.00485029	119.137
579	0.1524	39.6	0.00485029	117.137
580	0.1524	39.6	0.00485029	117.037
581	0.1524	39.6	0.00485029	116.677
582	0.1524	31.7	0.00525474	125.741
583	0.1524	31.7	0.00525474	127.781
584	0.1524	31.7	0.00525474	129.681
585	0.1524	31.7	0.00525474	131.471
586	0.1524	31.7	0.00525474	131.491
587	0.1524	31.7	0.00525474	128.241
588	0.1524	31.7	0.00525474	123.991
589	0.1524	31.7	0.00525474	123.76100000000001
590	0.1524	31.7	0.00525474	122.771
591	0.1524	31.7	0.00525474	119.15100000000001
592	0.1524	31.7	0.00525474	118.291
593	0.1524	31.7	0.00525474	116.181
594	0.1524	31.7	0.00525474	115.691
595	0.1524	31.7	0.00525474	115.59100000000001
596	0.1524	71.3	0.00752039	128.713
597	0.1524	71.3	0.00752039	130.123
598	0.1524	71.3	0.00752039	132.043
599	0.1524	71.3	0.00752039	134.85299999999998
600	0.1524	71.3	0.00752039	136.023
601	0.1524	71.3	0.00752039	134.273
602	0.1524	71.3	0.00752039	132.513
603	0.1524	71.3	0.00752039	130.893
604	0.1524	71.3	0.00752039	128.643
605	0.1524	71.3	0.00752039	124.353
606	0.1524	71.3	0.00752039	116.78299999999999
607	0.1524	71.3	0.00752039	119.34299999999999
608	0.1524	71.3	0.00752039	118.34299999999999
609	0.1524	71.3	0.00752039	116.603
610	0.1524	71.3	0.00752039	113.333
611	0.1524	71.3	0.00752039	110.31299999999999
612	0.1524	39.6	0.00909175	127.488
613	0.1524	39.6	0.00909175	130.558
614	0.1524	39.6	0.00909175	132.118
615	0.1524	39.6	0.00909175	132.658
616	0.1524	39.6	0.00909175	133.19799999999998
617	0.1524	39.6	0.00909175	132.358
618	0.1524	39.6	0.00909175	128.338
619	0.1524	39.6	0.00909175	122.428
620	0.1524	39.6	0.00909175	120.05799999999999
621	0.1524	39.6	0.00909175	120.228
622	0.1524	39.6	0.00909175	117.478
623	0.1524	39.6	0.00909175	111.818
624	0.1524	39.6	0.00909175	114.258
625	0.1524	39.6	0.00909175	113.288
